#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Hex ID [Wall] (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
224,green-stripe tank,,Tank Top,Able Sisters,Summer,Yes,320,-,80,64,4,3,-,-,-,green,green,sporty,Unisex,-,,-,-,みどりのタンクトップ,top rayas verdes,top rayas verdes,débardeur rayé vert,débardeur rayé vert,Grünstreifentop,canotta righe verdi,녹색 탱크탑,1.0,2598,25E5,361E,tops_tanktop_grn,Yes,,,-,,,-
225,green-zap suit,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,green superhero,Sci-Fi / Toy Shop,-,white,green,sporty,Male,-,,-,-,ヒーロースーツG,superjersey verde,superjersey verde,pull de héros vert,pull de héros vert,Grünheldenpulli,maglia eroe verde,히어로 슈트 G,1.0,2540,258D,35C6,tops_hero_grn,Yes,,,-,,,-
226,groovy tank,,Tank Top,GracieGrace,Summer,No,"5,800",-,"1,450",-,72,251,-,Trendy,-,pink,yellow,flashy,Unisex,Nature,,-,-,サイケデリックなふくN,top caracol,top caracol,débardeur funky,débardeur funky,Schneckentop,canotta ghirigori,사이키델릭 옷 N,1.0,25F7,2644,367D,tops_ptn_psyche,Yes,,,-,,,-
227,groovy tee,,T-Shirt,GracieGrace,-,No,"6,400",-,"1,600",-,80,251,-,Trendy,-,pink,yellow,flashy,Unisex,Nature,,-,-,サイケデリックなふく,camiseta caracol,camiseta caracol,t-shirt funky,t-shirt funky,Schneckenshirt,maglietta ghirigori,사이키델릭 옷,1.0,24D8,2525,355E,tops_ptn_psyche,Yes,,,-,,,groovy tee
228,gumdrop tee,,T-Shirt,Able Sisters,Spring,Yes,390,-,97,77,4,3,-,Trendy,-,pink,green,cute,Female,Dotted,,-,-,はるのみずたまのふく,camiseta esferas,camiseta esferas,t-shirt bonbons,t-shirt bonbons,Kaugummishirt,maglietta gommosa,봄 물방울무늬 옷,1.0,249E,24EB,3524,tops_dot_spring,Yes,,,-,,,gumdrop tee
229,hanten shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,Harmonious,-,blue,beige,iconic,Unisex,-,,-,-,そでなしはんてん,bata de invierno,bata de invierno,pull hanten,pull hanten,Lockerweste,giacca da casa,민소매 방한복,1.0,255E,25AB,35E4,tops_hanten,Yes,,,-,,,hanten shirt
230,happi tee,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,Harmonious,-,blue,red,iconic,Unisex,Nature,,-,-,はっぴ,camiseta festival,camiseta festival,t-shirt happi,t-shirt happi,Fernost-Jacke,maglietta da festa,일본풍 축제 가운,1.0,2551,259E,35D7,tops_happi,Yes,,,-,,,happi tee
231,heart tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,Toy Shop,-,pink,red,cute,Unisex,Manufactured,,-,-,ハートのふく,camiseta corazón,camiseta corazón,t-shirt cœur,t-shirt cœur,Shirt „Herz“,maglietta di cuori,하트 옷,1.0,2463,24B0,34E9,tops_mark_heart,Yes,,,-,,,heart tee
232,Hello Kitty outfit,,T-Shirt,Rilla's RV,-,No,-,-,200,-,10,300,-,Fairy Tale / Toy Shop,-,blue,white,cute,Unisex,Manufactured,,-,-,ハローキティなふく,camiseta Hello Kitty,camiseta Hello Kitty,tenue Hello Kitty,tenue Hello Kitty,Hello-Kitty-Outfit,magliet. Hello Kitty,헬로키티 옷,1.4,-,2671,36AA,tops_snr_kitty,Yes,,,-,,,Hello Kitty outfit
233,hero's clothes,,Shirt,Fortune,-,No,-,-,210,-,10,151,hero,Toy Shop,-,green,green,iconic,Male,-,,-,-,ゆうしゃのふく,jersey del héroe,jersey del héroe,tenue héroïque,tenue héroïque,Heldenjacke,maglia Link,용사 옷,1.0,2543,2590,35C9,tops_nin_link,No,,,hero's clothes,,,-
234,HHA jacket,,Shirt,HHA,-,No,-,-,25,-,1,499,-,-,-,red,red,official,Unisex,-,,-,-,ハッピーホームジャケット,americana AAD,americana AAD,veste AJD,veste AJD,AdsH-Jacke,giacca ABC,해피홈 재킷,1.0,259D,25EA,3623,tops_hh_jacket,Yes,,,-,,,-
235,HHA tee,,T-Shirt,HHA,-,No,-,-,25,-,1,499,-,-,-,white,red,basic,Unisex,-,,-,-,ハッピーホームTシャツ,camiseta AAD,camiseta AAD,t-shirt AJD,t-shirt AJD,AdsH-Shirt,maglietta ABC,해피홈 티셔츠,1.0,259C,25E9,3622,tops_hh_tshirt,Yes,,,-,,,-
236,HHA women's jacket,,Shirt,Lottie's RV,-,No,-,-,160,-,8,56,-,-,-,red,red,official,Female,-,,-,-,アカデミーのふくレディス,saco AAD mujer,chaqueta AAD,veste féminine AJD,veste féminine AJD,AdsH-Blazer,divisa ABC donna,여성용 아카데미 옷,1.4,-,2665,369E,tops_hh_jacketw,Yes,,,-,,,-
237,high-spirits shirt,,T-Shirt,Holden's RV,-,No,-,-,200,-,10,300,-,-,-,red,yellow,rock 'n' roll,Unisex,-,,-,-,ノリノリなシャツ,camiseta buen humor,camiseta buen humor,haut radieux,haut radieux,Übermut-Pulli,maglietta euforica,하이 스피릿 셔츠,1.4,-,267B,36B4,tops_fueki,Yes,,,-,,,-
238,hot spring tee,,T-Shirt,Able Sisters,Spring,Yes,520,-,130,104,6,3,-,Harmonious,-,pink,beige,iconic,Female,Nature,,-,-,ピンクチャイナなふく,camiseta rocío,camiseta rocío,t-shirt iris mauve,t-shirt iris mauve,Seidenshirt,maglietta rosa vivo,중국풍 핑크 옷,1.0,2508,2555,358E,tops_china_pnk,Yes,,,-,,,hot spring tee
239,hot-dog tank,,Tank Top,GracieGrace,-,No,"6,000",-,"1,500",-,75,251,-,-,-,brown,colorful,flashy,Unisex,Nature,,-,-,ホットドッグなふく,top salchicha,top salchicha,débardeur hot-dog,débardeur hot-dog,Hotdog-Top,canotta hot dog,핫도그 옷,1.0,2502,254F,3588,tops_food_hotdog,Yes,,,-,,,-
240,icy shirt,,Shirt,Able Sisters,Summer,Yes,390,-,97,77,4,3,-,-,-,white,aqua,cute,Unisex,Nature,,-,-,すずしげなニット,jersey hielo,jersey hielo,pull givré,pull givré,Eispulli,maglione ghiaccio,시원한 니트,1.0,24C0,250D,3546,tops_knit_icy,No,,,icy shirt,,,icy shirt
241,imperial shirt,,Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,imperial,Harmonious,-,red,black,iconic,Unisex,-,,-,-,ちゅうかなふく,jersey imperial,jersey imperial,pull Chine,pull Chine,Rotseidenpulli,maglia cinese,중국풍 옷,1.0,2529,2576,35AF,tops_chinese,Yes,,,-,,,-
242,jacquard fleece,,Shirt,Lottie's RV,-,No,-,-,200,-,10,300,-,-,-,colorful,colorful,sporty,Unisex,-,,-,-,ジャガードのフリース,chaqueta hippy,chaqueta hippy,chandail en polaire,chandail en polaire,Jacquard-Outfit,giacca rombi,자카드 플리스,1.4,-,267E,36B7,tops_otg_fleece,Yes,,,-,,,-
243,jade plaid shirt,,Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,green,red,modern,Unisex,Plaid,,-,-,みどりチェックのふくL,jersey tartán jade,jersey tartán jade,pull nappe jade,pull nappe jade,Aktiv-Pulli,maglia estate,녹색 체크무늬 옷 L,1.0,25A4,25F1,362A,tops_check_grn,Yes,,,-,,,-
244,jade plaid tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,green,red,modern,Unisex,Plaid,,-,-,みどりチェックのふく,camiseta tartán jade,camiseta tartán jade,t-shirt nappe jade,t-shirt nappe jade,Aktiv-Shirt,maglietta estate,녹색 체크무늬 옷,1.0,24AB,24F8,3531,tops_check_grn,Yes,,,-,,,jade plaid tee
245,jagged tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,Trendy,-,aqua,yellow,rock 'n' roll,Unisex,Nature,,-,-,シャギーなふくN,top picos,top picos,débardeur dentelé,débardeur dentelé,Zackentop,canotta sfumata,피터팬 옷 N,1.0,25EF,263C,3675,tops_shaggy,Yes,,,-,,,-
246,jagged tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,Trendy,-,aqua,yellow,rock 'n' roll,Unisex,Nature,,-,-,シャギーなふく,camiseta picos,camiseta picos,t-shirt dentelé,t-shirt dentelé,Zackenshirt,maglietta sfumata,피터팬 옷,1.0,24E8,2535,356E,tops_shaggy,Yes,,,-,,,-
247,jester shirt,,Shirt,Able Sisters,Spring,Yes,420,-,105,84,5,3,jester,Fairy Tale / Toy Shop,-,purple,yellow,flashy,Unisex,V-Striped,,-,-,ピエロのふく,jersey de bufón,jersey de bufón,pull bouffon,pull bouffon,Narrenpulli,maglia giullare,피에로 옷,1.0,258A,25D7,3610,tops_jester,No,,,jester shirt,,,jester shirt
248,jester tank,,Tank Top,Able Sisters,Spring,Yes,280,-,70,56,3,3,jester,Fairy Tale,-,purple,yellow,flashy,Unisex,V-Striped,,-,-,ピエロのふくN,top de bufón,top de bufón,débardeur bouffon,débardeur bouffon,Narrentop,canotta giullare,피에로 옷 N,1.0,25E3,2630,3669,tops_jester,Yes,,,-,,,-
249,jinbei top,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,Harmonious,-,gray,blue,iconic,Male,-,,-,-,じんべい,batín,batín,veste jinbei,veste jinbei,Jimbei-Shirt,giacca giapponese,동양풍 여름옷,1.0,254E,259B,35D4,tops_jinbe,Yes,,,-,,,-
250,jockey shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,blue,pink,sporty,Male,-,,-,-,しょうぶふく,jersey banda rosa,jersey banda rosa,pull jockey,pull jockey,Jockeypulli,maglia riga fucsia,기수복,1.0,2571,25BE,35F7,tops_jockey,Yes,,,-,,,-
251,jungle-camo shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,soldier,-,-,green,brown,rock 'n' roll,Unisex,Nature,,-,-,めいさいなふくL,jersey camuflaje,jersey camuflaje,pull motif jungle,pull motif jungle,Dschungelpulli,maglia mimetica,밀리터리 상의 L,1.0,25D5,2622,365B,tops_camo,Yes,,,-,,,jungle-camo shirt
252,jungle-camo tee,,T-Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,soldier,-,-,green,brown,rock 'n' roll,Unisex,Nature,,-,-,めいさいなふく,camiseta camuflaje,camiseta camuflaje,t-shirt motif jungle,t-shirt motif jungle,Dschungelshirt,maglietta mimetica,밀리터리 상의,1.0,24EC,2539,3572,tops_camo,Yes,,,-,,,jungle-camo tee
253,kanji tee,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,Harmonious,-,white,green,rock 'n' roll,Unisex,Manufactured,,-,-,かんじTシャツ,camiseta kanji,camiseta kanji,t-shirt kanji,t-shirt kanji,Motiv-Shirt,maglietta ideogramma,한자 티셔츠,1.0,254F,259C,35D5,tops_print_kanji,Yes,,,-,,,-
254,kappa costume,,Shirt,Souvenir Shop,-,No,-,20,250,200,12,199,turtle,-,-,green,green,flashy,Unisex,Animal,,-,-,カッパスーツ,jersey kappa,jersey kappa,haut kappa,haut kappa,Käpten-Pulli,maglia tartaruga,거북이 옷,1.0,2528,2575,35AE,tops_cstm_kappa,Yes,,,-,,,-
255,Kerokerokeroppi top,,T-Shirt,Toby's RV,-,No,-,-,200,-,10,300,-,Fairy Tale / Toy Shop,-,red,white,cute,Unisex,V-Striped,,-,-,けろけろけろっぴなふく,camiseta jardín zen,camiseta jardín zen,vêt. Kerokerokeroppi,vêt. Kerokerokeroppi,Teich-Outfit,magl. ranocchio chic,케로케로케로피 옷,1.4,-,2676,36AF,tops_snr_keroppi,Yes,,,-,,,Kerokerokeroppi top
256,kiddie tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,Trendy / Toy Shop,-,colorful,colorful,flashy,Unisex,Nature,,-,-,ブロックのふく,camiseta bloques,camiseta bloques,t-shirt enfant,t-shirt enfant,Kindershirt,maglietta bimbi,블록무늬 옷,1.0,24E4,2531,356A,tops_ptn_block,Yes,,,-,,,kiddie tee
257,kids' smock,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,aqua,aqua,cute,Unisex,Manufactured,,-,-,スモック,jersey parvulario,jersey parvulario,blouse enfant,blouse enfant,Malkittel,maglia grembiule,유치원생 옷,1.0,2562,25AF,35E8,tops_smock,Yes,,,-,,,kids' smock
258,Kiki and Lala outfit,,T-Shirt,Étoile's RV,-,No,-,-,200,-,10,300,-,Fairy Tale / Toy Shop,-,pink,yellow,cute,Unisex,-,,-,-,キキ&ララなふく,camiseta Kiki & Lala,camiseta Kiki & Lala,tenue Kiki & Lala,tenue Kiki & Lala,Kiki-&-Lala-Outfit,magl. Kiki and Lala,리틀 트윈 스타 옷,1.4,-,2673,36AC,tops_snr_kikirara,Yes,,,-,,,Kiki and Lala outfit
259,kiwi tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,kiwi,Rustic,-,green,yellow,cute,Unisex,Fruit,,-,-,キウイのふくN,top kiwi,top kiwi,débardeur kiwi,débardeur kiwi,Kiwitop,canotta kiwi,키위 옷 N,1.0,2601,264E,3687,tops_frt_kiwi,Yes,,,-,,,-
260,kiwi tee,,T-Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,kiwi,Rustic,-,green,yellow,cute,Unisex,Fruit,,-,-,キウイのふく,camiseta kiwi,camiseta kiwi,t-shirt kiwi,t-shirt kiwi,Kiwishirt,maglietta kiwi,키위 옷,1.0,24FB,2548,3581,tops_frt_kiwi,Yes,,,-,,,kiwi tee
261,kung-fu shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,Harmonious,-,black,black,sporty,Male,-,,-,-,カンフーなふくL,jersey kung-fu,jersey kung-fu,pull kung-fu,pull kung-fu,Kung-Fu-Jacke,maglia kung-fu,쿵푸 옷 L,1.0,25AD,25FA,3633,tops_kungfu,Yes,,,-,,,-
262,kung-fu tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,Harmonious,-,black,black,sporty,Male,-,,-,-,カンフーなふく,camiseta kung-fu,camiseta kung-fu,t-shirt kung-fu,t-shirt kung-fu,Kung-Fu-Hemd,maglietta kung-fu,쿵푸 옷,1.0,2537,2584,35BD,tops_kungfu,Yes,,,-,,,-
263,lacy white tank,,Tank Top,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,Fairy Tale,-,white,white,cute,Female,-,,-,-,しろいキャミソール,top encaje,top encaje,débardeur dentelle,débardeur dentelle,Blau-Spitzentop,canotta merlettata,하얀 캐미솔,1.0,255C,25A9,35E2,tops_cami_wht,Yes,,,-,,,-
264,ladybug tank,,Tank Top,GracieGrace,Spring,No,"5,400",-,"1,350",-,67,251,-,Toy Shop,-,red,black,flashy,Female,Nature,,-,-,てんとうむしのふく,top catarina,top mariquita,débardeur coccinelle,débardeur coccinelle,Käfertop,canotta coccinella,무당벌레 옷,1.0,24F6,2543,357C,tops_insc_ladybug,Yes,,,-,,,-
265,leaf tee,,T-Shirt,Able Sisters,-,Yes,260,-,65,52,3,3,-,Rustic,-,green,brown,cute,Unisex,Nature,,-,-,はっぱのふく,camiseta de picos,camiseta de picos,t-shirt feuille,t-shirt feuille,Tannenshirt,maglietta foglia,나뭇잎 옷,1.0,24CF,251C,3555,tops_leaf,Yes,,,-,,,-
266,lemon gingham shirt,,Shirt,Able Sisters,Spring,Yes,420,-,105,84,5,3,-,-,-,yellow,white,cute,Unisex,Plaid,,-,-,レモンギンガムのふくL,jersey vichy oro,jersey vichy oro,pull vichy jaune,pull vichy jaune,Gelb-Karo-Pulli,maglia limone,레몬 깅엄 옷 L,1.0,25C0,260D,3646,tops_gingham_lemon,Yes,,,-,,,lemon gingham shirt
267,lemon gingham tee,,T-Shirt,Able Sisters,Spring,Yes,340,-,85,68,4,3,-,-,-,yellow,white,cute,Unisex,Plaid,,-,-,レモンギンガムのふく,camiseta vichy oro,camiseta vichy oro,t-shirt vichy jaune,t-shirt vichy jaune,Gelb-Karo-Shirt,maglietta limone,레몬 깅엄 옷,1.0,24B0,24FD,3536,tops_gingham_lemon,Yes,,,-,,,lemon gingham tee
268,leopard tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,yellow,brown,rock 'n' roll,Unisex,Animal,,-,-,ひょうがらのふくN,top leopardo,top leopardo,débardeur léopard,débardeur léopard,Leopardentop,canotta leopardo,표범무늬 옷 N,1.0,2608,2655,368E,tops_anml_leopard,Yes,,,-,,,-
269,leopard tee,,T-Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,-,-,yellow,brown,rock 'n' roll,Unisex,Animal,,-,-,ひょうがらのふく,camiseta leopardo,camiseta leopardo,t-shirt léopard,t-shirt léopard,Leopardenshirt,maglietta leopardo,표범무늬 옷,1.0,24F4,2541,357A,tops_anml_leopard,Yes,,,-,,,leopard tee
270,lightning tee,,T-Shirt,Able Sisters,Summer,Yes,380,-,95,76,4,3,-,-,-,blue,white,rock 'n' roll,Unisex,Manufactured,,-,-,カミナリのふく,camiseta rayo,camiseta rayo,t-shirt éclair,t-shirt éclair,Blitz-Shirt,maglietta lampo,번개 옷,1.0,2457,24A4,34DD,tops_lightning,Yes,,,-,,,lightning tee
271,li'l bro's tee,,T-Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,Toy Shop,-,green,white,sporty,Male,Manufactured,,-,-,おとうとさんのふく,camiseta L,camiseta L,t-shirt Luigi,t-shirt Luigi,Luigi-Shirt,maglietta fratellino,아우 옷,1.0,246F,24BC,34F5,tops_nin_lilbros,Yes,,,-,,,-
272,Link outfit,,Shirt,Zelda RV,-,No,-,-,200,-,10,300,-,Toy Shop,-,green,brown,iconic,Unisex,-,,-,-,リンクのふく,túnica de Link,túnica de Link,tenue de Link,tenue de Link,Link-Outfit,costume Link,링크 옷,1.4,-,2667,36A0,tops_nin_linkfirst,Yes,,,-,,,-
273,lite polka shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,white,colorful,cute,Unisex,Dotted,,-,-,しろマーブルなふくL,jersey topos día,jersey topos día,pull blanc à pois,pull blanc à pois,Konfettipulli,maglia tenue pois,하얀 마블 옷 L,1.0,25C6,2613,364C,tops_polka_wht,No,,,lite polka shirt,,,-
274,lite polka tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,white,colorful,cute,Unisex,Dotted,,-,-,しろマーブルなふく,camiseta topos día,camiseta topos día,t-shirt blanc à pois,t-shirt blanc à pois,Konfettishirt,maglietta tenue pois,하얀 마블 옷,1.0,249B,24E8,3521,tops_polka_wht,Yes,,,-,,,lite polka tee
275,lotus tee,,T-Shirt,Able Sisters,Summer,Yes,400,-,100,80,5,3,-,Rustic,-,aqua,pink,cute,Unisex,Nature,,-,-,ロータスなふく,camiseta loto,camiseta loto,t-shirt nénuphar,t-shirt nénuphar,Lotusshirt,maglietta loto,연꽃무늬 옷,1.0,2587,25D4,360D,tops_flw_lotus,Yes,,,-,,,lotus tee
276,loud bloom tee,,T-Shirt,Able Sisters,Summer,Yes,360,-,90,72,4,3,-,Rustic,-,green,white,flashy,Unisex,Nature,,-,-,はでなはなのシャツ,camiseta edén,camiseta edén,t-shirt flashy,t-shirt flashy,Nachtblumenshirt,maglietta esplosiva,화려한 꽃무늬 셔츠,1.0,2584,25D1,360A,tops_flw_loud,Yes,,,-,,,loud bloom tee
277,lovely tee,,T-Shirt,Able Sisters,Spring,Yes,400,-,100,80,5,3,-,Fairy Tale,-,pink,pink,cute,Female,Nature,,-,-,ラブリーなふく,camiseta corazones,camiseta corazones,t-shirt amour,t-shirt amour,Herzchenshirt,maglietta cuoricini,러블리 옷,1.0,24D4,2521,355A,tops_ptn_heart,Yes,,,-,,,-
278,Marie shirt,,T-Shirt,Viché's RV,-,No,-,-,200,-,10,300,-,-,-,black,green,rock 'n' roll,Female,-,,-,-,ホタルなシャツ,blusa de Tina,blusa de Tina,chemisier Oly,chemisier Oly,Limone-Pulli,maglietta Marina,호타루 셔츠,1.4,-,2679,36B2,tops_spl_hotaru,Yes,,,-,,,-
279,matador's jacket,,Shirt,GracieGrace,-,No,"5,600",-,"1,400",-,70,299,-,-,-,black,orange,sporty,Male,-,,-,Iberian jacket,とうぎゅうしのふく,chaqueta de luces,chaqueta de luces,veste ibérique,veste ibérique,Matadorjacke,giacca da torero,투우사 옷,1.0,256F,25BC,35F5,tops_matador,Yes,,,-,,,-
280,Medli outfit,,T-Shirt,Medli's RV,-,No,-,-,200,-,10,300,-,Toy Shop,-,gray,red,iconic,Unisex,-,,-,-,メドリのふく,camiseta Medli,camiseta Medli,tenue de Médolie,tenue de Médolie,Medolie-Outfit,costume Famirè,메들리 옷,1.4,-,266A,36A3,tops_nin_medori,Yes,,,-,,,-
281,melon gingham shirt,,Shirt,Able Sisters,Spring,Yes,420,-,105,84,5,3,-,-,-,green,white,cute,Unisex,Plaid,,-,-,わかばギンガムのふくL,jersey vichy lima,jersey vichy lima,pull vichy vert,pull vichy vert,Künstlerpulli,maglia pistacchio,새싹 깅엄 옷 L,1.0,25DC,2629,3662,tops_gingham_leaf,Yes,,,-,,,-
282,melon gingham tee,,T-Shirt,Able Sisters,Spring,Yes,340,-,85,68,4,3,-,-,-,green,white,cute,Unisex,Plaid,,-,-,わかばギンガムのふく,camiseta vichy lima,camiseta vichy lima,t-shirt vichy vert,t-shirt vichy vert,Künstlershirt,maglietta pistacchio,새싹 깅엄 옷,1.0,24B1,24FE,3537,tops_gingham_leaf,Yes,,,-,,,melon gingham tee
283,melon shirt,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,melon,Rustic,-,green,green,cute,Unisex,Fruit,,-,-,メロンのふくN,top melón,top melón,débardeur melon,débardeur melon,Papayatop,maglia melone,멜론 옷 N,1.0,25DE,262B,3664,tops_frt_melon,No,,,melon shirt,,,-
284,melon tee,,T-Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,melon,Rustic,-,green,green,cute,Unisex,Fruit,,-,-,メロンのふく,camiseta melón,camiseta melón,t-shirt melon,t-shirt melon,Papayashirt,maglietta melone,멜론 옷,1.0,24FF,254C,3585,tops_frt_melon,Yes,,,-,,,melon tee
285,HHA raincoat,,Shirt,Digby's RV,-,No,-,-,200,-,10,300,-,-,-,yellow,red,official,Unisex,-,,-,-,アカデミーのレインコート,impermeable AAD,impermeable AAD,uniforme pluie AJD,uniforme pluie AJD,AdsH-Regenjacke,giacca a vento ABC,아카데미 비옷,1.4,-,2677,36B0,tops_szr,Yes,,,-,,,-
286,men's recruit suit,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,gray,gray,official,Male,-,,-,-,リクルートスーツメンズ,saco pasante hombre,chaqueta becario,costume recrue homme,costume recrue homme,AdsH-Neulings-Jacke,giacca novellino,남성용 리크루트 옷,1.4,-,2659,3692,tops_recruit_mens,Yes,,,-,,,-
287,military uniform,,Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,Antique,-,green,green,official,Male,-,,-,-,へいたいのふく,chaqueta militar,chaqueta militar,pull militaire,pull militaire,Militärjacke,giacca militare,군인 옷,1.0,2517,2564,359D,tops_military,No,,,military uniform,,,-
288,mint gingham shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,green,brown,basic,Unisex,Plaid,,-,-,ミントギンガムなふくL,jersey vichy menta,jersey vichy menta,pull vichy menthe,pull vichy menthe,Mint-Karo-Pulli,maglia menta,민트 깅엄 옷 L,1.0,25DA,2627,3660,tops_gingham_mint,Yes,,,-,,,mint gingham shirt
289,mint gingham tee,,T-Shirt,Able Sisters,-,Yes,330,-,82,65,4,3,-,-,-,green,brown,basic,Unisex,Plaid,,-,-,ミントギンガムなふく,camiseta vichy menta,camiseta vichy menta,t-shirt vichy menthe,t-shirt vichy menthe,Mint-Karo-Shirt,maglietta menta,민트 깅엄 옷,1.0,24AD,24FA,3533,tops_gingham_mint,Yes,,,-,,,mint gingham tee
290,mint shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,green,green,cute,Unisex,-,,-,-,まるえりのふく,blusa verde,blusa verde,pull menthe,pull menthe,Rundkragenpulli,camicia verde chiaro,둥근 칼라 옷,1.0,2564,25B1,35EA,tops_collar_round,Yes,,,-,,,mint shirt
291,misty tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,green,white,historical,Unisex,Nature,,-,-,かすみのふくN,top bruma,top bruma,débardeur brume,débardeur brume,Nebeltop,canotta nebbia,봄안개 옷 N,1.0,25E1,262E,3667,tops_img_misty,Yes,,,-,,,-
292,misty tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,green,white,historical,Unisex,Nature,,-,-,かすみのふく,camiseta bruma,camiseta bruma,t-shirt brume,t-shirt brume,Nebelshirt,maglietta nebbia,봄안개 옷,1.0,2473,24C0,34F9,tops_img_misty,Yes,,,-,,,misty tee
293,mod shirt,,Shirt,GracieGrace,-,No,"4,800",-,"1,200",-,60,299,-,Toy Shop,-,white,beige,cute,Male,Plaid,,-,-,だんしアイドルなふく,chaqueta cuadritos,chaqueta cuadritos,veste bigarrée,veste bigarrée,Buntpunkt-Jacke,giacca quadri bianca,남자 아이돌 옷,1.0,2595,25E2,361B,tops_idol_boy,Yes,,,-,,,mod shirt
294,moldy shirt,,Shirt,Able Sisters,-,Yes,40,-,10,8,,3,-,Quirky,-,beige,brown,flashy,Unisex,-,,-,-,カビたふくL,jersey borrones,jersey borrones,pull élimé,pull élimé,Schimmelpulli,maglia ammuffita,곰팡이 핀 옷 L,1.0,25B7,2604,363D,tops_musty,No,,,moldy shirt,,,-
295,monkey shirt,,Shirt,Able Sisters,Winter,Yes,380,-,95,76,4,3,-,-,-,yellow,green,historical,Unisex,Nature,,-,-,さるがらのニット,jersey monos,jersey monos,pull singe,pull singe,Baumpulli,maglione con scimmie,원숭이무늬 니트,1.0,24CC,2519,3552,tops_knit_monkey,No,,,monkey shirt,,,-
296,mummy shirt,,Shirt,Able Sisters,-,Yes,180,-,45,36,2,3,mummy,Quirky,-,white,white,flashy,Unisex,-,,-,-,ほうたいのふく,jersey de momia,jersey de momia,pull momie,pull momie,Mumienpulli,maglia mummia,붕대 옷,1.0,2516,2563,359C,tops_mummy,No,,,mummy shirt,,,mummy shirt
297,MVP shirt,,Shirt,Able Sisters,-,Yes,370,-,92,73,4,3,-,-,-,white,blue,sporty,Unisex,Manufactured,,-,-,MVPロングTシャツ,jersey MVP,jersey MVP,pull MVP,pull MVP,MVP-Pulli,maglia MVP,MVP 롱티셔츠,1.0,25A3,25F0,3629,tops_mvp,No,,,MVP shirt,,,MVP shirt
298,MVP tee,,T-Shirt,Able Sisters,-,Yes,370,-,92,73,4,3,-,-,-,white,blue,sporty,Unisex,Manufactured,,-,-,MVPTシャツ,camiseta MVP,camiseta MVP,t-shirt MVP,t-shirt MVP,MVP-Shirt,maglietta MVP,MVP 티셔츠,1.0,2458,24A5,34DE,tops_mvp,Yes,,,-,,,MVP tee
